C:\Users\junoko\AppData\Local\conda\conda\envs\tensorflow\python.exe C:/Users/junoko/PycharmProjects/untitled/conv7.py
I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\stream_executor\dso_loader.cc:135] successfully opened CUDA library cublas64_80.dll locally
I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\stream_executor\dso_loader.cc:135] successfully opened CUDA library cudnn64_5.dll locally
I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\stream_executor\dso_loader.cc:135] successfully opened CUDA library cufft64_80.dll locally
I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\stream_executor\dso_loader.cc:135] successfully opened CUDA library nvcuda.dll locally
I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\stream_executor\dso_loader.cc:135] successfully opened CUDA library curand64_80.dll locally
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\framework\op_kernel.cc:943] OpKernel ('op: "BestSplits" device_type: "CPU"') for unknown op: BestSplits
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\framework\op_kernel.cc:943] OpKernel ('op: "CountExtremelyRandomStats" device_type: "CPU"') for unknown op: CountExtremelyRandomStats
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\framework\op_kernel.cc:943] OpKernel ('op: "FinishedNodes" device_type: "CPU"') for unknown op: FinishedNodes
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\framework\op_kernel.cc:943] OpKernel ('op: "GrowTree" device_type: "CPU"') for unknown op: GrowTree
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\framework\op_kernel.cc:943] OpKernel ('op: "ReinterpretStringToFloat" device_type: "CPU"') for unknown op: ReinterpretStringToFloat
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\framework\op_kernel.cc:943] OpKernel ('op: "SampleInputs" device_type: "CPU"') for unknown op: SampleInputs
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\framework\op_kernel.cc:943] OpKernel ('op: "ScatterAddNdim" device_type: "CPU"') for unknown op: ScatterAddNdim
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\framework\op_kernel.cc:943] OpKernel ('op: "TopNInsert" device_type: "CPU"') for unknown op: TopNInsert
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\framework\op_kernel.cc:943] OpKernel ('op: "TopNRemove" device_type: "CPU"') for unknown op: TopNRemove
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\framework\op_kernel.cc:943] OpKernel ('op: "TreePredictions" device_type: "CPU"') for unknown op: TreePredictions
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\framework\op_kernel.cc:943] OpKernel ('op: "UpdateFertileSlots" device_type: "CPU"') for unknown op: UpdateFertileSlots
I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\common_runtime\gpu\gpu_device.cc:885] Found device 0 with properties:
name: GeForce GTX 1080 Ti
major: 6 minor: 1 memoryClockRate (GHz) 1.582
pciBusID 0000:0e:00.0
Total memory: 11.00GiB
Free memory: 9.11GiB
I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\common_runtime\gpu\gpu_device.cc:906] DMA: 0
I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\common_runtime\gpu\gpu_device.cc:916] 0:   Y
I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\common_runtime\gpu\gpu_device.cc:975] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:0e:00.0)
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\stream_executor\cuda\cuda_driver.cc:1002] failed to allocate 10.78G (11574936832 bytes) from device: CUDA_ERROR_OUT_OF_MEMORY
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\stream_executor\cuda\cuda_driver.cc:1002] failed to allocate 9.70G (10417442816 bytes) from device: CUDA_ERROR_OUT_OF_MEMORY
learning_rate / training_epochs: 0.0009 / 230
Learning started...
train_N: 19559 input
train epoch: 0 batch: 0 cost: 0.692828
train epoch: 0 batch: 4000 cost: 21.3713
train epoch: 0 batch: 8000 cost: 10.5823
train epoch: 0 batch: 12000 cost: 0.923099
train epoch: 0 batch: 16000 cost: 3.38671
train epoch: 1 batch: 0 cost: 3.89415
train epoch: 1 batch: 4000 cost: 3.54085
train epoch: 1 batch: 8000 cost: 2.73057
train epoch: 1 batch: 12000 cost: 1.58118
train epoch: 1 batch: 16000 cost: 0.669018
train epoch: 2 batch: 0 cost: 1.89862
train epoch: 2 batch: 4000 cost: 2.34815
train epoch: 2 batch: 8000 cost: 1.78625
train epoch: 2 batch: 12000 cost: 0.803537
train epoch: 2 batch: 16000 cost: 0.881429
train epoch: 3 batch: 0 cost: 1.37247
train epoch: 3 batch: 4000 cost: 1.56358
train epoch: 3 batch: 8000 cost: 1.47444
train epoch: 3 batch: 12000 cost: 1.1577
train epoch: 3 batch: 16000 cost: 0.764657
train epoch: 4 batch: 0 cost: 0.741131
train epoch: 4 batch: 4000 cost: 1.12497
train epoch: 4 batch: 8000 cost: 1.18889
train epoch: 4 batch: 12000 cost: 0.882295
train epoch: 4 batch: 16000 cost: 0.665152
train epoch: 5 batch: 0 cost: 0.791385
train epoch: 5 batch: 4000 cost: 0.938376
train epoch: 5 batch: 8000 cost: 0.954453
train epoch: 5 batch: 12000 cost: 0.83993
train epoch: 5 batch: 16000 cost: 0.697164
train epoch: 6 batch: 0 cost: 0.689081
train epoch: 6 batch: 4000 cost: 0.826256
train epoch: 6 batch: 8000 cost: 0.85084
train epoch: 6 batch: 12000 cost: 0.731638
train epoch: 6 batch: 16000 cost: 0.665341
train epoch: 7 batch: 0 cost: 0.715153
train epoch: 7 batch: 4000 cost: 0.765098
train epoch: 7 batch: 8000 cost: 0.755843
train epoch: 7 batch: 12000 cost: 0.699588
train epoch: 7 batch: 16000 cost: 0.665544
train epoch: 8 batch: 0 cost: 0.693976
train epoch: 8 batch: 4000 cost: 0.737541
train epoch: 8 batch: 8000 cost: 0.714356
train epoch: 8 batch: 12000 cost: 0.667083
train epoch: 8 batch: 16000 cost: 0.675021
train epoch: 9 batch: 0 cost: 0.700513
train epoch: 9 batch: 4000 cost: 0.699867
train epoch: 9 batch: 8000 cost: 0.677683
train epoch: 9 batch: 12000 cost: 0.660955
train epoch: 9 batch: 16000 cost: 0.67168
train epoch: 10 batch: 0 cost: 0.688745
train epoch: 10 batch: 4000 cost: 0.684612
train epoch: 10 batch: 8000 cost: 0.664005
train epoch: 10 batch: 12000 cost: 0.66214
train epoch: 10 batch: 16000 cost: 0.683962
train epoch: 11 batch: 0 cost: 0.681903
train epoch: 11 batch: 4000 cost: 0.665269
train epoch: 11 batch: 8000 cost: 0.658562
train epoch: 11 batch: 12000 cost: 0.665748
train epoch: 11 batch: 16000 cost: 0.673609
train epoch: 12 batch: 0 cost: 0.669179
train epoch: 12 batch: 4000 cost: 0.660086
train epoch: 12 batch: 8000 cost: 0.65958
train epoch: 12 batch: 12000 cost: 0.667138
train epoch: 12 batch: 16000 cost: 0.674938
train epoch: 13 batch: 0 cost: 0.664185
train epoch: 13 batch: 4000 cost: 0.659611
train epoch: 13 batch: 8000 cost: 0.663923
train epoch: 13 batch: 12000 cost: 0.665144
train epoch: 13 batch: 16000 cost: 0.665384
train epoch: 14 batch: 0 cost: 0.66216
train epoch: 14 batch: 4000 cost: 0.659742
train epoch: 14 batch: 8000 cost: 0.659934
train epoch: 14 batch: 12000 cost: 0.660507
train epoch: 14 batch: 16000 cost: 0.663369
train epoch: 15 batch: 0 cost: 0.657964
train epoch: 15 batch: 4000 cost: 0.651713
train epoch: 15 batch: 8000 cost: 0.64325
train epoch: 15 batch: 12000 cost: 0.635164
train epoch: 15 batch: 16000 cost: 0.652915
train epoch: 16 batch: 0 cost: 0.626053
train epoch: 16 batch: 4000 cost: 0.662934
train epoch: 16 batch: 8000 cost: 0.896763
train epoch: 16 batch: 12000 cost: 0.651618
train epoch: 16 batch: 16000 cost: 0.657755
train epoch: 17 batch: 0 cost: 0.638046
train epoch: 17 batch: 4000 cost: 0.642702
train epoch: 17 batch: 8000 cost: 0.662291
train epoch: 17 batch: 12000 cost: 0.65396
train epoch: 17 batch: 16000 cost: 0.638303
train epoch: 18 batch: 0 cost: 0.629508
train epoch: 18 batch: 4000 cost: 0.609742
train epoch: 18 batch: 8000 cost: 0.584654
train epoch: 18 batch: 12000 cost: 0.642152
train epoch: 18 batch: 16000 cost: 0.622975
train epoch: 19 batch: 0 cost: 0.545827
train epoch: 19 batch: 4000 cost: 0.588513
train epoch: 19 batch: 8000 cost: 0.545643
train epoch: 19 batch: 12000 cost: 0.522682
train epoch: 19 batch: 16000 cost: 0.529234
train epoch: 20 batch: 0 cost: 0.504515
train epoch: 20 batch: 4000 cost: 0.482608
train epoch: 20 batch: 8000 cost: 0.503679
train epoch: 20 batch: 12000 cost: 0.588839
train epoch: 20 batch: 16000 cost: 0.457481
train epoch: 21 batch: 0 cost: 0.466674
train epoch: 21 batch: 4000 cost: 0.515122
train epoch: 21 batch: 8000 cost: 0.551427
train epoch: 21 batch: 12000 cost: 0.484711
train epoch: 21 batch: 16000 cost: 0.438233
train epoch: 22 batch: 0 cost: 0.514191
train epoch: 22 batch: 4000 cost: 0.468802
train epoch: 22 batch: 8000 cost: 0.402151
train epoch: 22 batch: 12000 cost: 0.453568
train epoch: 22 batch: 16000 cost: 0.393748
train epoch: 23 batch: 0 cost: 0.412488
train epoch: 23 batch: 4000 cost: 0.380821
train epoch: 23 batch: 8000 cost: 0.363082
train epoch: 23 batch: 12000 cost: 0.37505
train epoch: 23 batch: 16000 cost: 0.389165
train epoch: 24 batch: 0 cost: 0.405208
train epoch: 24 batch: 4000 cost: 0.574839
train epoch: 24 batch: 8000 cost: 0.817961
