C:\Users\junoko\AppData\Local\conda\conda\envs\tensorflow\python.exe C:/Users/junoko/PycharmProjects/untitled/conv8.py
I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\stream_executor\dso_loader.cc:135] successfully opened CUDA library cublas64_80.dll locally
I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\stream_executor\dso_loader.cc:135] successfully opened CUDA library cudnn64_5.dll locally
I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\stream_executor\dso_loader.cc:135] successfully opened CUDA library cufft64_80.dll locally
I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\stream_executor\dso_loader.cc:135] successfully opened CUDA library nvcuda.dll locally
I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\stream_executor\dso_loader.cc:135] successfully opened CUDA library curand64_80.dll locally
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\framework\op_kernel.cc:943] OpKernel ('op: "BestSplits" device_type: "CPU"') for unknown op: BestSplits
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\framework\op_kernel.cc:943] OpKernel ('op: "CountExtremelyRandomStats" device_type: "CPU"') for unknown op: CountExtremelyRandomStats
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\framework\op_kernel.cc:943] OpKernel ('op: "FinishedNodes" device_type: "CPU"') for unknown op: FinishedNodes
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\framework\op_kernel.cc:943] OpKernel ('op: "GrowTree" device_type: "CPU"') for unknown op: GrowTree
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\framework\op_kernel.cc:943] OpKernel ('op: "ReinterpretStringToFloat" device_type: "CPU"') for unknown op: ReinterpretStringToFloat
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\framework\op_kernel.cc:943] OpKernel ('op: "SampleInputs" device_type: "CPU"') for unknown op: SampleInputs
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\framework\op_kernel.cc:943] OpKernel ('op: "ScatterAddNdim" device_type: "CPU"') for unknown op: ScatterAddNdim
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\framework\op_kernel.cc:943] OpKernel ('op: "TopNInsert" device_type: "CPU"') for unknown op: TopNInsert
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\framework\op_kernel.cc:943] OpKernel ('op: "TopNRemove" device_type: "CPU"') for unknown op: TopNRemove
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\framework\op_kernel.cc:943] OpKernel ('op: "TreePredictions" device_type: "CPU"') for unknown op: TreePredictions
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\framework\op_kernel.cc:943] OpKernel ('op: "UpdateFertileSlots" device_type: "CPU"') for unknown op: UpdateFertileSlots
I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\common_runtime\gpu\gpu_device.cc:885] Found device 0 with properties: 
name: GeForce GTX 1080 Ti
major: 6 minor: 1 memoryClockRate (GHz) 1.582
pciBusID 0000:0e:00.0
Total memory: 11.00GiB
Free memory: 9.11GiB
I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\common_runtime\gpu\gpu_device.cc:906] DMA: 0 
I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\common_runtime\gpu\gpu_device.cc:916] 0:   Y 
I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\common_runtime\gpu\gpu_device.cc:975] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:0e:00.0)
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\stream_executor\cuda\cuda_driver.cc:1002] failed to allocate 10.78G (11574936832 bytes) from device: CUDA_ERROR_OUT_OF_MEMORY
E c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\stream_executor\cuda\cuda_driver.cc:1002] failed to allocate 9.70G (10417442816 bytes) from device: CUDA_ERROR_OUT_OF_MEMORY
learning_rate / training_epochs: 0.0009 / 500
Learning started...
train_N: 19559 input
train epoch: 0 batch: 0 cost: 1.66298
train epoch: 0 batch: 4000 cost: 16.9248
train epoch: 0 batch: 8000 cost: 11.6914
train epoch: 0 batch: 12000 cost: 2.33048
train epoch: 0 batch: 16000 cost: 4.05004
train epoch: 1 batch: 0 cost: 6.1084
train epoch: 1 batch: 4000 cost: 6.40862
train epoch: 1 batch: 8000 cost: 6.39564
train epoch: 1 batch: 12000 cost: 6.17848
train epoch: 1 batch: 16000 cost: 5.16129
train epoch: 2 batch: 0 cost: 4.1385
train epoch: 2 batch: 4000 cost: 2.67508
train epoch: 2 batch: 8000 cost: 1.3095
train epoch: 2 batch: 12000 cost: 0.812396
train epoch: 2 batch: 16000 cost: 2.10565
train epoch: 3 batch: 0 cost: 2.57963
train epoch: 3 batch: 4000 cost: 2.47164
train epoch: 3 batch: 8000 cost: 1.68868
train epoch: 3 batch: 12000 cost: 0.718038
train epoch: 3 batch: 16000 cost: 1.73226
train epoch: 4 batch: 0 cost: 1.13023
train epoch: 4 batch: 4000 cost: 0.680072
train epoch: 4 batch: 8000 cost: 0.82696
train epoch: 4 batch: 12000 cost: 0.722817
train epoch: 4 batch: 16000 cost: 0.681824
train epoch: 5 batch: 0 cost: 0.804578
train epoch: 5 batch: 4000 cost: 0.739941
train epoch: 5 batch: 8000 cost: 0.658433
train epoch: 5 batch: 12000 cost: 0.714576
train epoch: 5 batch: 16000 cost: 0.743256
train epoch: 6 batch: 0 cost: 0.668459
train epoch: 6 batch: 4000 cost: 0.677387
train epoch: 6 batch: 8000 cost: 0.716411
train epoch: 6 batch: 12000 cost: 0.700774
train epoch: 6 batch: 16000 cost: 0.662815
train epoch: 7 batch: 0 cost: 0.706904
train epoch: 7 batch: 4000 cost: 0.69592
train epoch: 7 batch: 8000 cost: 0.656642
train epoch: 7 batch: 12000 cost: 0.704504
train epoch: 7 batch: 16000 cost: 0.696512
train epoch: 8 batch: 0 cost: 0.669564
train epoch: 8 batch: 4000 cost: 0.674568
train epoch: 8 batch: 8000 cost: 0.690054
train epoch: 8 batch: 12000 cost: 0.667202
train epoch: 8 batch: 16000 cost: 0.667291
train epoch: 9 batch: 0 cost: 0.687258
train epoch: 9 batch: 4000 cost: 0.658905
train epoch: 9 batch: 8000 cost: 0.658778
train epoch: 9 batch: 12000 cost: 0.67222
train epoch: 9 batch: 16000 cost: 0.666727
train epoch: 10 batch: 0 cost: 0.665017
train epoch: 10 batch: 4000 cost: 0.658138
train epoch: 10 batch: 8000 cost: 0.660923
train epoch: 10 batch: 12000 cost: 0.667472
train epoch: 10 batch: 16000 cost: 0.663296
train epoch: 11 batch: 0 cost: 0.669248
train epoch: 11 batch: 4000 cost: 0.658416
train epoch: 11 batch: 8000 cost: 0.657667
train epoch: 11 batch: 12000 cost: 0.676383
train epoch: 11 batch: 16000 cost: 0.662119
train epoch: 12 batch: 0 cost: 0.665447
train epoch: 12 batch: 4000 cost: 0.665926
train epoch: 12 batch: 8000 cost: 0.658156
train epoch: 12 batch: 12000 cost: 0.670551
train epoch: 12 batch: 16000 cost: 0.665266
train epoch: 13 batch: 0 cost: 0.664193
train epoch: 13 batch: 4000 cost: 0.659911
train epoch: 13 batch: 8000 cost: 0.659498
train epoch: 13 batch: 12000 cost: 0.662475
train epoch: 13 batch: 16000 cost: 0.65599
train epoch: 14 batch: 0 cost: 0.653301
train epoch: 14 batch: 4000 cost: 0.648344
train epoch: 14 batch: 8000 cost: 0.633486
train epoch: 14 batch: 12000 cost: 0.647003
train epoch: 14 batch: 16000 cost: 0.64651
train epoch: 15 batch: 0 cost: 0.648183
train epoch: 15 batch: 4000 cost: 0.614301
train epoch: 15 batch: 8000 cost: 0.642463
train epoch: 15 batch: 12000 cost: 0.658901
train epoch: 15 batch: 16000 cost: 0.595737
train epoch: 16 batch: 0 cost: 0.620035
train epoch: 16 batch: 4000 cost: 0.60379
train epoch: 16 batch: 8000 cost: 0.595637
train epoch: 16 batch: 12000 cost: 0.578387
train epoch: 16 batch: 16000 cost: 0.636172
train epoch: 17 batch: 0 cost: 0.856051
train epoch: 17 batch: 4000 cost: 0.697681
train epoch: 17 batch: 8000 cost: 0.717226
train epoch: 17 batch: 12000 cost: 0.624536
train epoch: 17 batch: 16000 cost: 0.743901
train epoch: 18 batch: 0 cost: 0.652898
train epoch: 18 batch: 4000 cost: 0.654943
train epoch: 18 batch: 8000 cost: 0.691459
train epoch: 18 batch: 12000 cost: 0.634767
train epoch: 18 batch: 16000 cost: 0.681786
train epoch: 19 batch: 0 cost: 0.61393
train epoch: 19 batch: 4000 cost: 0.669824
train epoch: 19 batch: 8000 cost: 0.600042
train epoch: 19 batch: 12000 cost: 0.633704
train epoch: 19 batch: 16000 cost: 0.598516
train epoch: 20 batch: 0 cost: 0.612969
train epoch: 20 batch: 4000 cost: 0.556322
train epoch: 20 batch: 8000 cost: 0.581018
train epoch: 20 batch: 12000 cost: 0.669763
train epoch: 20 batch: 16000 cost: 0.678342
train epoch: 21 batch: 0 cost: 0.565647
train epoch: 21 batch: 4000 cost: 0.615775
train epoch: 21 batch: 8000 cost: 0.592254
train epoch: 21 batch: 12000 cost: 0.575002
train epoch: 21 batch: 16000 cost: 0.611859
train epoch: 22 batch: 0 cost: 0.554473
train epoch: 22 batch: 4000 cost: 0.618689
train epoch: 22 batch: 8000 cost: 0.547711
train epoch: 22 batch: 12000 cost: 0.556554
train epoch: 22 batch: 16000 cost: 0.549848
train epoch: 23 batch: 0 cost: 0.538435
train epoch: 23 batch: 4000 cost: 0.540202
train epoch: 23 batch: 8000 cost: 0.496283
train epoch: 23 batch: 12000 cost: 0.505287
train epoch: 23 batch: 16000 cost: 0.614411
train epoch: 24 batch: 0 cost: 0.609656
train epoch: 24 batch: 4000 cost: 0.526367
train epoch: 24 batch: 8000 cost: 0.54927
